Time,Sample,Phase
687, 0.926115, 0.312017
688, 0.925036, 0.312471
689, 0.92395, 0.312924
690, 0.922856, 0.313378
691, 0.921755, 0.313831
692, 0.920646, 0.314285
693, 0.91953, 0.314738
694, 0.918407, 0.315192
695, 0.917276, 0.315645
696, 0.916137, 0.316099
697, 0.914991, 0.316552
698, 0.913838, 0.317006
699, 0.912677, 0.317459
700, 0.911509, 0.317913
701, 0.910333, 0.318366
702, 0.90915, 0.31882
703, 0.90796, 0.319273
704, 0.906762, 0.319727
705, 0.905557, 0.32018
706, 0.904344, 0.320634
707, 0.903125, 0.321087
708, 0.901897, 0.321541
709, 0.900663, 0.321994
710, 0.899421, 0.322448
711, 0.898172, 0.322901
712, 0.896916, 0.323355
713, 0.895652, 0.323808
714, 0.894381, 0.324262
715, 0.893103, 0.324715
716, 0.891817, 0.325169
717, 0.890525, 0.325622
718, 0.889225, 0.326076
719, 0.887918, 0.326529
720, 0.886603, 0.326983
721, 0.885282, 0.327436
722, 0.883953, 0.32789
723, 0.882617, 0.328343
724, 0.881274, 0.328797
725, 0.879924, 0.32925
726, 0.878566, 0.329704
727, 0.877202, 0.330157
728, 0.87583, 0.330611
729, 0.874452, 0.331064
730, 0.873066, 0.331518
731, 0.871673, 0.331971
732, 0.870273, 0.332425
733, 0.868866, 0.332878
734, 0.867451, 0.333332
735, 0.86603, 0.333785
736, 0.864602, 0.334239
737, 0.863167, 0.334692
738, 0.861725, 0.335146
739, 0.860275, 0.335599
740, 0.858819, 0.336053
741, 0.857356, 0.336506
742, 0.855886, 0.33696
743, 0.854409, 0.337413
744, 0.852925, 0.337867
745, 0.851434, 0.33832
746, 0.849936, 0.338774
747, 0.848431, 0.339227
748, 0.846919, 0.339681
749, 0.845401, 0.340134
750, 0.843876, 0.340588
751, 0.842343, 0.341041
752, 0.840804, 0.341495
753, 0.839258, 0.341948
754, 0.837705, 0.342402
755, 0.836146, 0.342855
756, 0.83458, 0.343309
757, 0.833007, 0.343762
758, 0.831427, 0.344216
759, 0.82984, 0.344669
760, 0.828247, 0.345123
761, 0.826647, 0.345576
762, 0.82504, 0.34603
763, 0.823426, 0.346483
764, 0.821806, 0.346937
765, 0.820179, 0.34739
766, 0.818546, 0.347844
767, 0.816906, 0.348297
768, 0.815259, 0.348751
769, 0.813605, 0.349204
770, 0.811945, 0.349658
771, 0.810279, 0.350111
772, 0.808606, 0.350565
773, 0.806926, 0.351018
774, 0.80524, 0.351472
775, 0.803547, 0.351925
776, 0.801847, 0.352379
777, 0.800142, 0.352832
778, 0.798429, 0.353286
779, 0.79671, 0.353739
780, 0.794985, 0.354193
781, 0.793253, 0.354646
782, 0.791515, 0.3551
783, 0.78977, 0.355553
784, 0.788019, 0.356007
785, 0.786262, 0.35646
786, 0.784498, 0.356914
787, 0.782728, 0.357367
788, 0.780951, 0.357821
789, 0.779168, 0.358274
790, 0.777379, 0.358728
791, 0.775584, 0.359181
792, 0.773782, 0.359635
793, 0.771974, 0.360088
794, 0.770159, 0.360542
795, 0.768339, 0.360995
796, 0.766512, 0.361449
797, 0.764679, 0.361902
798, 0.762839, 0.362356
799, 0.760994, 0.362809
800, 0.759142, 0.363263
801, 0.757284, 0.363716
802, 0.75542, 0.36417
803, 0.75355, 0.364623
804, 0.751674, 0.365077
805, 0.749791, 0.36553
806, 0.747903, 0.365984
807, 0.746009, 0.366437
808, 0.744108, 0.366891
809, 0.742201, 0.367344
810, 0.740289, 0.367798
811, 0.73837, 0.368251
812, 0.736445, 0.368705
813, 0.734515, 0.369158
814, 0.732578, 0.369612
815, 0.730636, 0.370065
816, 0.728687, 0.370519
817, 0.726733, 0.370972
818, 0.724773, 0.371426
819, 0.722806, 0.371879
820, 0.720834, 0.372333
821, 0.718856, 0.372786
822, 0.716873, 0.37324
823, 0.714883, 0.373693
824, 0.712888, 0.374147
825, 0.710887, 0.3746
826, 0.70888, 0.375054
827, 0.706867, 0.375507
828, 0.704849, 0.375961
829, 0.702825, 0.376414
830, 0.700795, 0.376868
831, 0.698759, 0.377321
832, 0.696718, 0.377775
833, 0.694671, 0.378228
