Time,Sample,Phase
31369, 0.989099, 0.226932
31369, 1, 0.226932
31370, 0.989514, 0.227385
31370, 1, 0.227385
31371, 0.989922, 0.227839
31371, 1, 0.227839
31372, 0.990321, 0.228292
31372, 1, 0.228292
31373, 0.990713, 0.228746
31373, 1, 0.228746
31374, 0.991096, 0.229199
31374, 1, 0.229199
31375, 0.991472, 0.229653
31375, 1, 0.229653
31376, 0.991839, 0.230106
31376, 1, 0.230106
31377, 0.992198, 0.23056
31377, 1, 0.23056
31378, 0.992549, 0.231013
31378, 1, 0.231013
31379, 0.992893, 0.231467
31379, 1, 0.231467
31380, 0.993228, 0.23192
31380, 1, 0.23192
31381, 0.993555, 0.232374
31381, 1, 0.232374
31382, 0.993874, 0.232827
31382, 1, 0.232827
31383, 0.994185, 0.233281
31383, 1, 0.233281
31384, 0.994487, 0.233734
31384, 1, 0.233734
31385, 0.994782, 0.234188
31385, 1, 0.234188
31386, 0.995069, 0.234641
31386, 1, 0.234641
31387, 0.995347, 0.235095
31387, 1, 0.235095
31388, 0.995618, 0.235548
31388, 1, 0.235548
31389, 0.99588, 0.236002
31389, 1, 0.236002
31390, 0.996135, 0.236455
31390, 1, 0.236455
31391, 0.996381, 0.236909
31391, 1, 0.236909
31392, 0.996619, 0.237362
31392, 1, 0.237362
31393, 0.996849, 0.237816
31393, 1, 0.237816
31394, 0.997071, 0.23827
31394, 1, 0.23827
31395, 0.997285, 0.238723
31395, 1, 0.238723
31396, 0.997491, 0.239177
31396, 1, 0.239177
31397, 0.997689, 0.23963
31397, 1, 0.23963
31398, 0.997878, 0.240084
31398, 1, 0.240084
31399, 0.99806, 0.240537
31399, 1, 0.240537
31400, 0.998233, 0.240991
31400, 1, 0.240991
31401, 0.998398, 0.241444
31401, 1, 0.241444
31402, 0.998555, 0.241898
31402, 1, 0.241898
31403, 0.998704, 0.242351
31403, 1, 0.242351
31404, 0.998845, 0.242805
31404, 1, 0.242805
31405, 0.998978, 0.243258
31405, 1, 0.243258
31406, 0.999103, 0.243712
31406, 1, 0.243712
31407, 0.99922, 0.244165
31407, 1, 0.244165
31408, 0.999328, 0.244619
31408, 1, 0.244619
31409, 0.999428, 0.245072
31409, 1, 0.245072
31410, 0.999521, 0.245526
31410, 1, 0.245526
31411, 0.999605, 0.245979
31411, 1, 0.245979
31412, 0.999681, 0.246433
31412, 1, 0.246433
31413, 0.999749, 0.246886
31413, 1, 0.246886
31414, 0.999809, 0.24734
31414, 1, 0.24734
31415, 0.99986, 0.247793
31415, 1, 0.247793
31416, 0.999904, 0.248247
31416, 1, 0.248247
31417, 0.999939, 0.2487
31417, 1, 0.2487
31418, 0.999967, 0.249154
31418, 1, 0.249154
31419, 0.999986, 0.249607
31419, 1, 0.249607
31420, 0.999997, 0.250061
31420, 1, 0.250061
31421, 1, 0.250514
31421, 1, 0.250514
31422, 0.999995, 0.250968
31422, 1, 0.250968
31423, 0.999982, 0.251421
31423, 1, 0.251421
31424, 0.99996, 0.251875
31424, 1, 0.251875
31425, 0.999931, 0.252328
31425, 1, 0.252328
31426, 0.999893, 0.252782
31426, 1, 0.252782
31427, 0.999847, 0.253235
31427, 1, 0.253235
31428, 0.999793, 0.253689
31428, 1, 0.253689
31429, 0.999731, 0.254142
31429, 1, 0.254142
31430, 0.999661, 0.254596
31430, 1, 0.254596
31431, 0.999583, 0.255049
31431, 1, 0.255049
31432, 0.999497, 0.255503
31432, 1, 0.255503
31433, 0.999402, 0.255956
31433, 1, 0.255956
31434, 0.9993, 0.25641
31434, 1, 0.25641
31435, 0.999189, 0.256863
31435, 1, 0.256863
31436, 0.99907, 0.257317
31436, 1, 0.257317
31437, 0.998943, 0.25777
31437, 1, 0.25777
31438, 0.998808, 0.258224
31438, 1, 0.258224
31439, 0.998665, 0.258677
31439, 1, 0.258677
31440, 0.998514, 0.259131
31440, 1, 0.259131
31441, 0.998355, 0.259584
31441, 1, 0.259584
31442, 0.998187, 0.260038
31442, 1, 0.260038
31443, 0.998012, 0.260491
31443, 1, 0.260491
31444, 0.997828, 0.260945
31444, 1, 0.260945
31445, 0.997636, 0.261398
31445, 1, 0.261398
31446, 0.997436, 0.261852
31446, 1, 0.261852
31447, 0.997229, 0.262305
31447, 1, 0.262305
31448, 0.997012, 0.262759
31448, 1, 0.262759
31449, 0.996788, 0.263213
31449, 1, 0.263213
31450, 0.996556, 0.263666
31450, 1, 0.263666
31451, 0.996316, 0.26412
31451, 1, 0.26412
31452, 0.996067, 0.264573
31452, 1, 0.264573
31453, 0.995811, 0.265027
31453, 1, 0.265027
31454, 0.995546, 0.26548
31454, 1, 0.26548
31455, 0.995274, 0.265934
31455, 1, 0.265934
31456, 0.994993, 0.266387
31456, 1, 0.266387
31457, 0.994704, 0.266841
31457, 1, 0.266841
31458, 0.994407, 0.267294
31458, 1, 0.267294
31459, 0.994102, 0.267748
31459, 1, 0.267748
31460, 0.993789, 0.268201
31460, 1, 0.268201
31461, 0.993468, 0.268655
31461, 1, 0.268655
31462, 0.993139, 0.269108
31462, 1, 0.269108
31463, 0.992802, 0.269562
